"These are the prov climates for the Sx CC/genecology trial, queried by Greg March 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data from ClimateBC ver 5.40 (about 66 prov) and ClimWNA 5.4 (the remainder, except one Ont prov which is from ClimNA 5.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are normals for 1961-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta SO pops designated as Class B because GW < 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedlot_code,seedlot_number,seedlot_name,Province,Class,lat_P,long_P,elev_P,MAT_P,MWMT_P,MCMT_P,TD_P,MAP_P,MSP_P,AHM_P,SHM_P,DD_0_P,DD5_P,DD_18_P,DD18_P,NFFD_P,bFFP_P,eFFP_P,FFP_P,PAS_P,EMT_P,EXT_P,Eref_P,CMD_P,MAR_P,RH_P
301,60154,TO low,BC,A,50.17,-120.269997,1024,4.3,15,-6.9,21.9,360,150,39.7,99.7,758,1211,5005,28,159,157,255,98,131,-37.4,34.8,640,428,12.5,59
302,60157,TO high,BC,A,50.22,-120.370003,1381,2.5,13.2,-8.8,22,380,179,32.8,73.9,1018,945,5647,13,145,164,258,94,160,-39,32.6,532,310,12.4,63
303,60424,NE high,BC,A,49.73701,-117.940399,1549,3,14.2,-6.9,21.1,1080,299,12,47.4,923,1035,5477,18,160,155,267,112,570,-36,32.3,497,125,14,69
304,60425,PG low,BC,A,55.00601,-124.621399,745,1.8,13.9,-12.4,26.3,617,239,19.1,58.1,1314,1006,5905,16,148,160,255,95,299,-42.4,31.9,506,214,11.1,62
305,60426,PG high,BC,A,55.11052,-124.541199,936,0.7,12.8,-12.9,25.7,705,265,15.2,48.1,1458,830,6283,9,133,171,245,74,373,-43.7,31.1,481,164,10.6,62
306,60427,BV low,BC,A,54.54875,-126.262199,725,2.4,13.8,-10.4,24.2,516,210,24.1,65.6,1098,996,5665,15,147,162,248,86,226,-41.5,32.4,514,265,10.6,61
307,60430,NE mid,BC,A,49.77374,-118.104698,1066,4.9,15.9,-6,21.9,751,244,19.8,65.2,672,1379,4792,43,178,144,267,123,281,-33.7,35,617,258,9.7,65
308,60438,BV low,BC,A,54.31293,-126.4505,896,2.2,13.3,-10,23.3,651,256,18.8,52,1079,917,5738,12,151,159,250,91,295,-39.9,31.3,477,175,11.2,65
309,60743,NE mid,BC,A,51.0271,-119.426498,1134,4.1,15.4,-7,22.5,737,260,19.2,59.2,813,1258,5060,35,174,146,272,127,314,-36,33.3,523,202,10.4,67
310,60744,NE high,BC,A,51.24023,-119.432503,1651,1.9,12.9,-8.4,21.3,1017,311,11.7,41.5,1067,869,5844,11,154,152,265,113,566,-38.8,30.1,436,92,12.7,69
